1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
,328121.376,184407.11,285592.179,183118.439,179263.154,141979.512,190193.503,87708.255,173772.504,266737.435,214857.739,190164.801,270005.673,309307.744,172015.002,300791.897,363082.275,302328.167,300012.772,283623.733,329659.357,149271.307,355542.195,73437.826,273951.517,304061.799,269978.679,303831.929,227048.235,317127.421,277094.717,353020.44,165089.953,210048.586,512573.209,380486.699,332169.01,250814.564,385455.716,222458.955,218794.501,302839.764,173383.344,167254.619,116615.031,228676.497,159045.467,
,319375.902,179371.363,278191.074,181878.714,181943.726,138747.35,182563.099,77313.443,164342.256,266530.355,209653.649,189018.946,268175.398,301293.013,168614.505,300970.16,356948.847,296502.234,294465.591,280340.632,326777.355,148713.55,350439.802,70285.507,272250.23,303203.904,257121.785,304268.65,224508.148,316129.131,273053.009,344797.482,162345.116,212322.386,509161.01,377563.909,328184.38,245241.842,387633.66,221296.182,216437.321,296268.974,170594.948,164325.389,117498.162,225198.587,156418.4,
,319746.103,174796.675,274517.171,178551.383,184528.934,140288.821,168394.979,75682.316,149563.744,269234.288,206812.639,185144.729,265806.73,292363.447,168937.006,302903.816,354430.865,292366.282,290564.01,278081.352,321689.236,146783.925,346001.962,68252.443,274381.288,302662.805,248232.425,303240.455,221671.826,313382.456,270164.502,331848.979,161978.836,213003.94,505919.786,376323.079,325701.97,242448.737,385062.649,218915.34,215077.704,288718.756,166784.584,160815.328,116686.76,223407.672,152699.432,
,315056.374,168288.639,266897.345,176789.561,187300.919,133994.101,175164.84,73924.569,152131.931,267438.97,205077.552,182871.854,262815.563,284657.106,167327.706,305300.504,350330.917,290119.997,287117.264,275192.274,313213.202,144080.746,339930.784,67275.78,275109.571,297544.167,238466.644,298487.372,216804.171,311486.102,267283.534,321816.61,157756.883,213992.016,501395.007,381244.75,322150.247,238857.62,379574.819,220969.109,214955.271,280464.761,160395.416,160393.623,114757.794,221229.964,150277.638,
,303780.935,170976.775,265130.898,176332.589,181958.084,126843.843,178003.426,72822.248,151375.031,260157.314,202873.116,183927.094,261684.818,281428.035,164162.908,302196.223,344988.702,289305.628,282116.583,273418.96,308947.396,142106.828,336534.511,66375.486,273055.901,290460.924,229669.351,293745.929,215662.217,310925.171,268115.59,311416.295,155973.748,214980.19,497037.89,378310.248,319952.94,233082.826,373528.338,223464.743,211953.992,274747.582,158209.802,157880.806,112155.902,220329.662,146750.827,
,298759.964,171000.172,264383.683,176579.981,180485.88,126440.861,171026.776,71518.834,152628.391,256131.387,201115.313,182382.618,264996.9,277130.968,164891.935,297982.108,337047.356,289254.889,272583.333,271146.022,304304.078,140176.408,334025.359,65235.423,270459.215,280206.53,225637.156,289814.202,207849.628,311216.457,265426.632,304390.64,153562.317,216444.043,496005.913,373705.823,317619.955,227820.332,368219.703,225217.118,210280.318,268830.816,156453.148,153299.444,108156.477,219979.95,143643.723,
,297197.469,166315.413,252277.318,175170.34,177900.811,123519.779,172889.018,68575.809,156201.707,251233.147,198462.412,177844.002,265934.588,274967.027,165358.457,292833.672,333268.451,285514.281,264370.212,268319.575,297033.32,137362.376,330680.994,64374.602,268042.112,273198.496,222011.203,287387.076,203025.124,309799.456,263930.862,297570.703,150911.915,216698.136,495172.005,370063.362,317405.516,225681.626,360874.551,226973.99,206737.985,266613.322,155752.541,150120.644,106187.013,219489.894,143528.82,
,298466.033,166649.47,244831.295,172070.483,172001.542,124345.683,166317.728,66653.681,149378.13,248050.337,195348.945,173230.906,265147.666,274486.267,164138.196,286571.533,329567.739,282579.875,260119.717,264679.464,291306.338,135703.183,328270.11,61956.358,265249.465,263684.85,220427.704,284197.515,200387.14,309563.466,261609.846,295415.404,147273.51,220395.384,496713.939,366858.569,313693.228,222946.275,355678.322,224829.912,198013.647,265331.155,157242.547,146100.212,103645.492,217230.566,143752.498,
,294860.591,165613.21,240392.679,171472.767,171511.462,125816.193,155124.311,65813.716,145433.043,245120.896,194840.431,169618.814,263625.203,276467.836,162304.935,282286.81,327695.232,279451.831,256461.688,264231.325,289716.821,140579.047,327034.818,59022.86,262326.349,254171.519,220256.906,281630.864,199305.567,310864.057,253951.5,295907.176,147031.65,222845.131,495845.287,360527.7,308725.52,223567.171,353042.799,220635.605,191522.182,264110.891,160573.852,140761.84,103999.919,214955.589,145228.333,
,295568.716,160243.292,229790.017,163893.62,171630.987,129774.853,153506.803,63411.771,137558.797,242581.327,196140.116,164343.58,259157.619,278187.8,162937.989,281584.686,328008.158,275184.809,254036.516,262628.451,287985.709,144522.034,322717.195,56511.479,266307.3,245445.159,220198.116,280510.165,194562.464,311940.771,241761.112,300025.041,144501.603,221946.041,494434.231,353800.773,304727.0,224045.78,345096.759,219481.618,189019.393,260991.845,160951.236,139667.975,103369.568,214559.478,148077.327,
